evt_id,evt_start,evt_end,evt_text,$evt_color,$evt_bg,$evt_category
20240617_0scfl5p5tsieepfsbtjpjtqljo,2024-06-17,2024-06-17,Bakrid/Eid ul-Adha,#000000,#FFDBDB,1
20240707_35fe3rsbddld7ojhgl3iskda7k,2024-07-07,2024-07-07,Rath Yatra,#000000,#FFDBDB,1
20240717_c45i2523mibsl5eohi0j8msi94,2024-07-17,2024-07-17,Muharram/Ashura,#000000,#FFDBDB,1
20240815_1dk4afrs7q1oov3639jcf8kgns,2024-08-15,2024-08-15,Parsi New Year,#000000,#FFDBDB,1
20240815_qdsu8bvmtomkn9c8qq8jbro62o,2024-08-15,2024-08-15,Independence Day,#000000,#FFDBDB,1
20240819_m1t0lhrdmrnc56vn3c9fjjib6s,2024-08-19,2024-08-19,Raksha Bandhan (Rakhi),#000000,#FFDBDB,1
20240826_8fmj8sv0oq9n40b7m796qhi3nc,2024-08-26,2024-08-26,Janmashtami (Smarta),#000000,#FFDBDB,1
20240826_ge12o19jm1csndg1tdosrcoiu4,2024-08-26,2024-08-26,Janmashtami,#000000,#FFDBDB,1
20240907_8njq4gvtb1nqq4vol60lkqsbc4,2024-09-07,2024-09-07,Ganesh Chaturthi/Vinayaka Chaturthi,#000000,#FFDBDB,1
20240915_1u4db28qebt0ld33un1nl4dm6k,2024-09-15,2024-09-15,Onam,#000000,#FFDBDB,1
20240916_67l9ctal3dopjcuoeppdun3ji8,2024-09-16,2024-09-16,Milad un-Nabi/Id-e-Milad,#000000,#FFDBDB,1
20241002_vnfo7gnek494spq2mfvmp0ce5g,2024-10-02,2024-10-02,Mahatma Gandhi Jayanti,#000000,#FFDBDB,1
20241003_697sco50igqdkc01u3d9oflcoo,2024-10-03,2024-10-03,First Day of Sharad Navratri,#000000,#FFDBDB,1
20241009_n1pnkkadfq016oa1spcoto9fm8,2024-10-09,2024-10-09,First Day of Durga Puja Festivities,#000000,#FFDBDB,1
20241010_2uh09vmktppptql4l6157srbgk,2024-10-10,2024-10-10,Maha Saptami,#000000,#FFDBDB,1
20241011_oo3s8q47k52bq5n5cdu3fa4t8o,2024-10-11,2024-10-11,Maha Ashtami,#000000,#FFDBDB,1
